City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
540,madison,34.73,-86.57,43,69,5,7.25,US,1579974118
541,celestun,20.87,-90.4,73.53,76,0,10.74,MX,1579974366
542,santa leopoldina,-20.1,-40.53,78.01,79,100,3,BR,1579974367
543,deshnok,27.8,73.34,63.97,35,0,4.61,IN,1579974367
544,san antonio,29.42,-98.49,66,63,90,10.29,US,1579974202
545,yumen,40.28,97.2,15.03,68,0,6.42,CN,1579974367
546,algodones,20.39,-105.48,77,86,100,1.99,MX,1579974367
547,hobyo,5.35,48.53,79.45,76,84,18.21,SO,1579974368
548,khvoynaya,58.9,34.53,27.05,85,95,12.28,RU,1579974368
549,bartica,6.4,-58.62,85.1,62,97,4.63,GY,1579974368
550,saint anthony,45.02,-93.22,32,86,90,9.17,US,1579974313
551,bonnyville,54.27,-110.73,32.43,99,99,3.06,CA,1579974369
552,sibenik,43.73,15.91,55.4,76,75,9.17,HR,1579974369
553,nenjiang,49.18,125.22,-5.96,87,0,7.99,CN,1579974344
554,sobolevo,54.43,31.9,32.29,81,68,13.56,RU,1579974369
555,gigmoto,13.78,124.39,80.11,82,89,14.79,PH,1579974369
556,porbandar,21.64,69.61,72.55,53,0,13.6,IN,1579974369
557,leh,34.17,77.58,0.97,95,85,3.51,IN,1579974370
558,inhambane,-23.86,35.38,78.71,71,79,13.31,MZ,1579974317
559,zemio,5.03,25.14,76.24,25,56,4.63,CF,1579974370
560,gunjur,13.2,-16.73,95.5,16,92,8.61,GM,1579974370
561,imeni morozova,59.98,31.04,30.99,66,100,9.78,RU,1579974371
562,lompoc,34.64,-120.46,64,87,1,5.82,US,1579974312
563,olafsvik,64.89,-23.71,34.11,96,100,17,IS,1579974371
564,constitucion,-35.33,-72.42,71.83,42,0,11.41,CL,1579974371
